City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
Sintea Mare,RO,46.5167,21.6,48.69,61,100,3.31,overcast clouds
Narsaq,GL,60.9167,-46.05,28.62,41,56,6.15,broken clouds
Ahipara,NZ,-35.1667,173.1667,58.24,71,65,12.44,broken clouds
Tilichiki,RU,60.4667,166.1,32.31,53,45,5.17,scattered clouds
Derzhavinsk,KZ,51.1,66.3167,46.22,57,48,5.1,scattered clouds
Lebu,CL,-37.6167,-73.65,48.4,94,3,2.89,clear sky
George,ZA,-33.963,22.4617,47.75,87,0,3.44,clear sky
Allende,MX,25.2833,-100.0167,78.57,69,6,2.55,clear sky
Payson,US,40.0444,-111.7321,51.28,78,90,6.91,overcast clouds
Wanning,CN,18.8003,110.3967,86.45,72,78,13.42,broken clouds
Lufilufi,WS,-13.8745,-171.5986,83.79,75,100,10.54,overcast clouds
Port Hawkesbury,CA,45.6169,-61.3485,49.59,89,1,1.01,clear sky
Chingola,ZM,-12.529,27.8838,72.03,41,17,6.17,few clouds
Valle De Allende,MX,26.9333,-105.4,68.56,42,0,7.02,clear sky
Bure,ET,10.7,37.0667,59.47,93,60,2.21,broken clouds
Karasburg,NA,-28.0167,18.75,56.77,34,0,11.56,clear sky
Chimoio,MZ,-19.1164,33.4833,66.06,94,0,2.44,clear sky
Jerecuaro,MX,20.15,-100.5167,60.53,84,46,4.7,scattered clouds
Itapipoca,BR,-3.4944,-39.5786,75.85,80,83,6.24,broken clouds
Danshui,CN,22.7984,114.4672,82.06,63,99,7.9,overcast clouds
Taksimo,RU,56.3444,114.8794,41.23,52,85,1.05,overcast clouds
Poum,NC,-20.2333,164.0167,74.12,66,4,8.72,clear sky
Okhotsk,RU,59.3833,143.3,33.94,64,0,10.04,clear sky
Sandnessjoen,NO,66.0217,12.6316,53.58,96,100,5.99,overcast clouds
Pacifica,US,37.6138,-122.4869,62.82,77,1,3.0,clear sky
Nambour,AU,-26.6333,152.95,87.33,65,0,4.0,clear sky
Veraval,IN,20.9,70.3667,84.63,71,25,3.0,scattered clouds
Pacific Grove,US,36.6177,-121.9166,61.97,83,1,1.99,clear sky
Gravdal,NO,68.1214,13.5031,50.54,94,100,16.71,overcast clouds
Valleyview,CA,55.0667,-117.2859,46.44,57,100,5.75,overcast clouds
Broome,US,42.2506,-75.833,61.47,84,90,5.01,overcast clouds
Esperance,AU,-33.8667,121.9,62.44,47,30,9.71,scattered clouds
Taree,AU,-31.9,152.4667,93.13,26,96,16.11,overcast clouds
Constantine,DZ,36.365,6.6147,56.61,82,40,1.14,scattered clouds
Saint-Philippe,RE,-21.3585,55.7679,76.21,80,59,14.05,light rain
Diffa,NE,13.3154,12.6113,82.02,18,63,7.7,broken clouds
Novo Aripuana,BR,-5.1206,-60.3797,76.1,82,10,1.9,clear sky
Mahibadhoo,MV,3.7833,72.9667,83.62,75,100,15.64,overcast clouds
Bengkulu,ID,-3.8004,102.2655,85.17,73,41,9.35,scattered clouds
Walla Walla,US,46.0646,-118.343,60.67,56,1,5.01,clear sky
Makinsk,KZ,52.6292,70.4169,35.85,66,67,8.84,broken clouds
Axim,GH,4.8699,-2.2405,76.8,90,100,7.27,moderate rain
Bria,CF,6.5423,21.9863,71.42,97,100,1.52,overcast clouds
Sorong,ID,-0.8833,131.25,84.56,76,13,5.12,few clouds
Howard Springs,AU,-12.497,131.047,93.97,63,66,13.18,broken clouds
Deep River,CA,46.1001,-77.4995,60.55,95,100,7.49,overcast clouds
Golynki,RU,54.8696,31.3861,35.92,79,4,2.26,clear sky
Kemang,ID,-3.3487,104.3447,89.46,47,56,4.59,broken clouds
Storm Lake,US,42.6411,-95.2097,65.3,94,1,6.91,clear sky
Grindavik,IS,63.8424,-22.4338,42.75,93,20,4.61,few clouds
Brewster,US,41.3973,-73.6171,61.43,85,90,8.05,overcast clouds
Daru,PG,-9.0763,143.2092,79.0,87,100,12.3,overcast clouds
Suzun,RU,53.7841,82.3116,47.77,57,9,9.98,clear sky
Chippewa Falls,US,44.9369,-91.3929,66.72,90,75,20.71,light rain
Bhainsa,IN,26.9548,76.9012,91.78,29,0,7.58,clear sky
San Rafael,AR,-34.6177,-68.3301,59.09,64,96,0.56,overcast clouds
Koulamoutou,GA,-1.1303,12.4736,71.31,100,100,0.96,overcast clouds
Bethanien,NA,-26.502,17.1583,59.68,30,2,7.43,clear sky
Waipawa,NZ,-41.4122,175.5153,56.03,67,7,8.23,clear sky
Hofn,IS,64.2539,-15.2082,43.39,80,100,17.02,overcast clouds
Kaeo,NZ,-35.1,173.7833,63.32,65,49,9.93,scattered clouds
Hampton,US,37.0299,-76.3452,73.0,92,90,1.01,overcast clouds
Vila,PT,42.0304,-8.1588,51.33,91,11,4.94,few clouds
Trindade,BR,-16.6494,-49.4889,78.55,47,97,1.7,overcast clouds
Ancud,CL,-41.8697,-73.8203,44.42,93,3,0.92,clear sky
Seddon,AU,-37.8068,144.8916,62.13,52,40,19.57,scattered clouds
Shenkursk,RU,62.1091,42.896,43.05,97,100,2.04,overcast clouds
Walvis Bay,NA,-22.9575,14.5053,53.1,71,0,1.14,clear sky
Ugoofaaru,MV,5.6667,73.0,83.41,79,52,15.75,broken clouds
Nuuk,GL,64.1835,-51.7216,34.41,80,90,3.44,light rain
Gourcy,BF,13.2167,-2.35,77.92,66,29,7.83,scattered clouds
Sobolevo,RU,54.4299,31.8996,36.54,81,0,0.89,clear sky
Morros,BR,-9.4467,-46.3003,82.9,26,96,3.74,overcast clouds
Rawson,AR,-43.3002,-65.1023,63.88,37,0,22.64,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,46.4,87,1,0.0,clear sky
Xiaoweizhai,CN,26.1903,107.5125,62.89,98,100,6.6,light rain
Magadan,RU,59.5667,150.8,35.78,49,1,6.58,clear sky
Oranjemund,NA,-28.55,16.4333,63.99,45,10,7.83,clear sky
Nadvoitsy,RU,63.8667,34.3167,48.36,91,100,9.24,overcast clouds
Archidona,ES,37.0965,-4.3887,61.41,92,92,5.19,overcast clouds
Gavrilovka Vtoraya,RU,52.877,42.7663,41.16,68,10,4.09,clear sky
Ajaigarh,IN,24.9,80.2667,86.54,45,7,4.43,clear sky
Durango,MX,24.8333,-104.8333,62.87,51,2,6.06,clear sky
Taldan,RU,53.6667,124.8,46.9,44,91,11.81,overcast clouds
Noshiro,JP,40.2039,140.0242,79.63,65,36,11.56,scattered clouds
Lajas,PR,18.05,-67.0593,78.44,77,4,1.01,clear sky
Yar-Sale,RU,66.8333,70.8333,30.42,90,99,17.29,light snow
Ankpa,NG,7.3706,7.6253,70.86,98,100,3.18,overcast clouds
Camacha,PT,33.0833,-16.3333,68.76,68,40,10.36,scattered clouds
Fortuna,US,40.5982,-124.1573,50.32,64,0,3.18,clear sky
Vao,NC,-22.6667,167.4833,69.84,64,12,16.46,few clouds
Porto-Vecchio,FR,41.591,9.2795,60.33,62,40,9.22,scattered clouds
Tangping,CN,22.0265,111.9323,81.1,87,100,17.16,light rain
Port Hardy,CA,50.6996,-127.4199,46.58,87,90,5.75,light intensity shower rain
Gavle,SE,60.6745,17.1417,51.51,80,68,5.99,broken clouds
Minab,IR,27.1467,57.0801,85.5,15,0,19.8,clear sky
Kudahuvadhoo,MV,2.6708,72.8944,83.44,72,99,14.43,overcast clouds
Kryve Ozero,UA,47.9524,30.3493,39.07,49,17,7.78,few clouds
Bull Savanna,JM,17.8868,-77.5902,76.28,86,56,4.27,broken clouds
Praia,CV,14.9215,-23.5087,77.54,83,20,6.91,few clouds
Yulara,AU,-25.2406,130.9889,69.64,43,75,17.27,broken clouds
Novyy Urengoy,RU,66.0833,76.6333,29.55,74,43,17.13,scattered clouds
Almaznyy,RU,48.0448,40.045,44.74,53,100,11.03,light rain
Chahal,GT,15.75,-89.5667,72.21,98,100,2.37,overcast clouds
San Andres,CO,12.5847,-81.7006,82.42,89,75,4.61,broken clouds
Fort Morgan,US,40.2503,-103.8,56.05,41,1,27.63,clear sky
Meridian,US,43.6121,-116.3915,52.72,60,1,1.01,clear sky
Emmett,US,43.8735,-116.4993,53.55,53,34,4.0,scattered clouds
Clyde River,CA,70.4692,-68.5914,26.83,80,90,13.8,overcast clouds
Broken Hill,AU,-31.95,141.4333,55.11,62,90,18.41,overcast clouds
Inuvik,CA,68.3499,-133.7218,31.21,93,90,5.75,light shower snow
Krasnoselkup,RU,65.7,82.4667,30.36,67,39,17.22,scattered clouds
Lata,PT,40.1629,-8.3327,59.04,52,63,4.34,broken clouds
Topolobampo,MX,25.6,-109.05,84.06,69,2,4.54,clear sky
Les Escoumins,CA,48.1111,-69.0236,39.76,79,44,4.03,scattered clouds
Jinchang,CN,38.4953,102.1739,50.7,23,0,10.71,clear sky
Brigantine,US,39.4101,-74.3646,70.02,87,90,11.5,overcast clouds
Buraydah,SA,26.326,43.975,70.25,15,0,6.26,clear sky
Abapo,BO,-18.8333,-63.4667,69.8,78,99,3.33,light rain
Mocuba,MZ,-16.8392,36.9856,76.35,55,0,2.3,clear sky
Qaqortoq,GL,60.7167,-46.0333,28.9,47,60,6.91,broken clouds
Sabha,LY,27.0377,14.4283,69.91,17,0,11.39,clear sky
Plettenberg Bay,ZA,-34.0527,23.3716,57.52,64,28,5.35,scattered clouds
Erzin,TR,36.9559,36.2,68.0,29,0,1.72,clear sky
Kautokeino,NO,69.0125,23.0412,38.34,99,100,3.29,overcast clouds
Davila,PH,18.4726,120.5763,85.98,76,34,18.34,scattered clouds
Dossor,KZ,47.5272,52.9811,51.91,37,0,6.58,clear sky
Kalmunai,LK,7.4167,81.8167,86.68,61,99,2.86,overcast clouds
Pangnirtung,CA,66.1451,-65.7125,29.66,91,96,3.83,overcast clouds
Northam,GB,51.0333,-4.2167,57.72,96,34,7.96,scattered clouds
Tezu,IN,27.9167,96.1667,89.37,53,5,3.96,clear sky
Faya,SA,18.3851,42.4509,63.12,37,54,12.86,broken clouds
Sinnamary,GF,5.3833,-52.95,77.81,73,100,2.89,overcast clouds
Catio,GW,11.2833,-15.25,78.84,85,69,3.0,broken clouds
Denia,ES,38.8408,0.1057,68.74,86,48,1.99,scattered clouds
Labuhan,ID,-6.8844,112.2051,91.65,47,47,9.66,scattered clouds
Tautira,PF,-17.7333,-149.15,80.62,66,37,2.75,scattered clouds
Salinas,US,36.6777,-121.6555,62.38,76,1,6.91,clear sky
Kodinsk,RU,58.6881,99.1844,38.35,71,99,12.66,overcast clouds
Springdale,US,36.1867,-94.1288,77.07,56,1,5.99,clear sky
Silivri,TR,41.0802,28.226,61.05,80,100,21.88,overcast clouds
Zlobin,HR,45.2924,14.6541,43.9,64,40,5.75,scattered clouds
Nanortalik,GL,60.1432,-45.2371,35.6,72,20,9.31,few clouds
Mwense,ZM,-10.3845,28.698,78.13,32,72,2.15,broken clouds
Gaya,IN,24.7833,85.0,84.11,74,1,4.61,haze
Pangody,RU,65.85,74.4859,30.94,78,63,17.09,light snow
Fort Nelson,CA,58.8053,-122.7002,38.79,52,20,5.75,few clouds
Caluquembe,AO,-13.7833,14.6833,68.85,43,65,2.66,broken clouds
Zhuhai,CN,22.2769,113.5678,82.11,100,75,14.97,heavy intensity rain
Ahuimanu,US,21.4447,-157.8378,78.51,66,75,16.11,broken clouds
Kerrville,US,30.0474,-99.1403,72.95,74,0,10.83,clear sky
Alibag,IN,18.6411,72.8792,86.07,77,72,2.62,broken clouds
Lannion,FR,48.75,-3.4167,57.67,94,90,2.3,overcast clouds
Buluang,PH,13.3068,123.3425,85.05,72,99,11.18,overcast clouds
Coihaique,CL,-45.5752,-72.0662,53.55,54,0,6.91,clear sky
Nueva Guinea,NI,11.6876,-84.4562,71.78,96,26,2.82,scattered clouds
Hithadhoo,MV,-0.6,73.0833,83.08,69,97,12.19,overcast clouds
Mwene-Ditu,CD,-7.0,23.45,72.07,71,5,2.48,clear sky
Harper,LR,4.375,-7.7169,75.83,91,87,4.99,light rain
Malanje,AO,-9.5402,16.341,65.91,82,23,4.03,few clouds
Taltal,CL,-25.4,-70.4833,58.44,65,0,3.38,clear sky
Liverpool,GB,53.4106,-2.9779,55.71,87,90,5.01,overcast clouds
Verkhnevilyuysk,RU,63.4453,120.3167,36.97,95,100,10.09,overcast clouds
Nichinan,JP,31.6,131.3667,83.35,66,50,13.11,scattered clouds
Yenagoa,NG,4.9247,6.2642,74.08,97,76,1.97,broken clouds
Chekhov,RU,55.1431,37.4711,40.95,77,5,4.18,clear sky
Forbes,AU,-33.3833,148.0167,65.91,76,100,6.04,light rain
Goderich,CA,43.7501,-81.7165,65.21,88,23,8.05,few clouds
Shelburne,CA,44.0787,-80.2041,61.59,97,98,12.66,overcast clouds
Villeneuve-Sur-Lot,FR,44.5,0.6667,51.85,89,0,0.89,clear sky
Mitsamiouli,KM,-11.3847,43.2844,80.89,61,20,9.22,few clouds
Saint-Georges,GD,12.0564,-61.7485,80.28,89,20,6.91,few clouds
Abu Samrah,SY,35.3029,37.1841,73.04,29,0,2.33,clear sky
Evensk,RU,61.95,159.2333,31.66,51,2,0.72,clear sky
Krasnaya Gorbatka,RU,55.8703,41.7641,43.12,71,97,4.74,overcast clouds
Vrangel,RU,42.7297,133.0839,62.71,89,100,15.9,overcast clouds
Soroti,UG,1.7146,33.6111,69.24,81,88,3.8,overcast clouds
Arinos,BR,-15.9169,-46.1056,76.69,50,66,2.66,broken clouds
Constitucion,CL,-35.3333,-72.4167,52.09,83,94,3.13,overcast clouds
Nantucket,US,41.2835,-70.0995,62.02,85,1,9.22,clear sky
Vestmannaeyjar,IS,63.4427,-20.2734,45.09,84,65,15.43,broken clouds
Gat,IL,31.61,34.7642,71.4,63,0,4.27,clear sky
Nelson Bay,AU,-32.7167,152.15,91.45,70,98,14.85,overcast clouds
Kankon,IN,15.0167,74.0167,82.51,81,96,6.71,overcast clouds
Damavand,IR,35.7178,52.065,46.24,62,5,3.38,clear sky
Okha,RU,53.5739,142.9478,46.76,94,100,15.1,light rain
Tynda,RU,55.1667,124.7167,44.96,44,19,9.37,few clouds
Ben Tre,VN,10.2333,106.3833,85.46,73,100,9.95,overcast clouds
Zhigansk,RU,66.7697,123.3711,33.03,99,100,18.81,snow
Biak,ID,-0.9131,122.8766,83.01,70,96,5.37,overcast clouds
Katsuura,JP,35.1333,140.3,75.24,72,28,11.45,scattered clouds
Samarai,PG,-10.6167,150.6667,80.56,78,87,12.73,overcast clouds
Matamba,TZ,-8.9833,33.9667,63.86,52,86,1.7,overcast clouds
Saint-Michel-Des-Saints,CA,46.6834,-73.9159,54.93,89,100,4.36,overcast clouds
Amsterdam,NL,52.374,4.8897,48.9,98,76,1.14,fog
San Carlos De Bariloche,AR,-41.1456,-71.3082,44.35,49,0,2.3,clear sky
Cap-Aux-Meules,CA,47.3821,-61.8597,46.42,81,62,4.61,broken clouds
Xiaolingwei,CN,32.0333,118.85,80.58,68,90,12.08,overcast clouds
Villa Carlos Paz,AR,-31.4241,-64.4978,61.39,83,41,1.99,light rain
Sauda,NO,59.6506,6.3542,55.69,96,100,3.96,light rain
Kashi,CN,39.4547,75.9797,47.41,34,75,8.95,broken clouds
Abonnema,NG,4.7084,6.7931,74.53,95,76,0.29,broken clouds
Dekar,BW,-21.5333,21.9333,61.95,19,0,10.98,clear sky
Gigmoto,PH,13.7796,124.39,81.72,82,100,16.6,moderate rain
Zeya,RU,53.75,127.2667,42.6,63,100,10.51,overcast clouds
Burgeo,CA,47.6167,-57.6152,41.59,74,6,11.81,clear sky
Kainantu,PG,-6.2887,145.8655,66.76,90,99,3.04,overcast clouds
Muzhi,RU,65.3667,64.6667,32.23,65,2,14.81,clear sky
Kumano,JP,34.3442,132.5894,81.77,61,0,2.59,clear sky
Piacabucu,BR,-10.4056,-36.4344,73.76,79,30,6.93,scattered clouds
Atambua,ID,-9.1061,124.8925,87.24,45,99,3.49,overcast clouds
Asau,RO,46.4333,26.4,36.75,59,1,3.94,clear sky
Bubanza,BI,-3.1167,29.4,68.32,60,100,2.68,overcast clouds
Yuksekova,TR,37.5736,44.2872,34.43,35,0,3.15,clear sky
Amapa,BR,1.0,-52.0,69.31,98,99,2.44,overcast clouds
Danville,US,36.586,-79.395,64.78,90,90,9.22,overcast clouds
Trairi,BR,-3.2778,-39.2689,79.57,75,75,12.1,broken clouds
Auki,SB,-8.7676,160.7034,82.02,74,91,3.98,overcast clouds
Santa Cruz,BO,-17.8,-63.1667,76.46,88,75,2.3,broken clouds
Rhyl,GB,53.3196,-3.4886,55.94,90,56,1.01,broken clouds
Kutum,SD,14.2,24.6667,75.09,15,83,4.68,broken clouds
Haines Junction,CA,60.7522,-137.5108,26.55,80,100,2.3,overcast clouds
Angoche,MZ,-16.2325,39.9086,78.51,70,1,13.15,clear sky
Coahuayana,MX,18.7333,-103.6833,77.31,94,100,3.0,overcast clouds
Yago,MX,21.8333,-105.0667,79.92,96,56,0.49,broken clouds
Bafia,CM,4.75,11.2333,69.55,99,100,1.79,moderate rain
Vaitape,PF,-16.5167,-151.75,79.27,70,15,8.3,few clouds
Trinidad,BO,-14.8333,-64.9,80.46,63,61,4.36,broken clouds
Notre-Dame-Du-Lac,CA,47.6136,-68.7964,47.64,80,57,4.03,broken clouds
Ishigaki,JP,24.3448,124.1572,87.93,74,40,21.85,scattered clouds
Vostok,RU,46.4856,135.8833,48.09,97,100,5.32,overcast clouds
Hay River,CA,60.8156,-115.7999,42.78,70,20,9.22,few clouds
Bilma,NE,18.6853,12.9164,78.6,17,23,8.66,few clouds
Mazyr,BY,52.0495,29.2456,34.72,79,17,4.61,few clouds
Noumea,NC,-22.2763,166.4572,78.78,58,0,19.46,clear sky
Teeli,RU,51.0333,90.2333,40.75,43,1,3.33,clear sky
Udine,IT,46.0619,13.2422,46.24,82,7,5.44,clear sky
Lohja,FI,60.2486,24.0653,52.68,100,100,9.95,overcast clouds
Calbuco,CL,-41.768,-73.1273,45.61,90,1,7.02,clear sky
Temiscaming,CA,46.7212,-79.0971,62.67,94,100,6.91,overcast clouds
Monroe,US,43.1501,-77.6831,64.44,78,90,10.36,overcast clouds
Sirjan,IR,29.452,55.6814,64.17,28,0,2.3,clear sky
Grand Gaube,MU,-20.0064,57.6608,76.37,72,25,13.0,scattered clouds
Jablunka,CZ,49.3835,17.9502,39.87,78,30,3.78,scattered clouds
Lugus,PH,5.7036,120.8203,83.79,69,100,3.15,overcast clouds
Klyuchevskiy,RU,53.5317,119.4519,45.52,38,2,10.22,clear sky
North Battleford,CA,52.7834,-108.2847,33.89,60,1,3.44,light snow
Aktash,RU,50.3,87.7333,32.59,53,1,4.76,clear sky
Shimoda,JP,34.6667,138.95,75.56,75,70,6.87,broken clouds
Nizwa,OM,22.9333,57.5333,91.09,20,16,1.32,few clouds
King City,US,36.2127,-121.126,59.77,56,0,5.23,clear sky
Zhumadian,CN,32.9794,114.0294,57.7,64,100,15.19,overcast clouds
Aksarayskiy,RU,46.7924,48.0119,37.35,44,100,4.32,overcast clouds
Changli,CN,39.7042,119.1506,60.91,42,98,17.29,overcast clouds
General Pico,AR,-35.6566,-63.7568,50.2,79,1,7.96,clear sky
Fureidis,IL,32.5986,34.9558,70.68,61,0,3.4,clear sky
Kieta,PG,-6.2167,155.6333,83.03,75,81,5.66,light rain
Gunjur,GM,13.2019,-16.7339,77.07,94,40,0.0,scattered clouds
Mayo,US,38.8876,-76.5119,68.18,89,90,11.01,overcast clouds
Lloydminster,CA,53.2835,-110.0016,44.82,33,20,8.05,few clouds
Ljungby,SE,56.8332,13.9408,39.61,87,26,6.64,scattered clouds
Kapoeta,SS,4.7717,33.5903,82.09,53,63,12.55,broken clouds
Airai,TL,-8.9266,125.4092,81.45,30,92,4.12,overcast clouds
San Ignacio,BZ,17.1561,-89.0714,73.65,94,74,1.03,broken clouds
Christchurch,NZ,-43.5333,172.6333,60.48,70,1,8.01,clear sky
Nadym,RU,65.5333,72.5167,31.08,80,82,19.42,broken clouds
Saint-Ambroise,CA,48.5501,-71.3324,57.69,81,79,6.91,broken clouds
Yining,CN,29.0361,114.5636,68.86,93,100,4.61,overcast clouds
Evanston,US,42.0411,-87.6901,75.96,77,75,3.0,broken clouds
Yinchuan,CN,38.4681,106.2731,52.0,29,20,4.43,few clouds
Brookhaven,US,31.5791,-90.4407,69.46,83,67,4.52,broken clouds
Palmer,US,42.1584,-72.3287,57.61,76,90,3.0,overcast clouds
Loei,TH,17.4167,101.5,83.12,69,100,3.0,overcast clouds
Iquique,CL,-20.2208,-70.1431,60.84,76,27,5.55,scattered clouds
San Alberto,CO,7.7611,-73.3922,74.41,95,97,2.19,overcast clouds
Zhoucheng,CN,35.9122,116.3117,64.26,40,83,19.98,broken clouds
Megion,RU,61.0296,76.1136,32.02,54,55,13.58,broken clouds
Bragadiru,RO,44.3711,25.9775,46.94,54,0,1.01,clear sky
Chicama,PE,-7.8447,-79.1469,57.74,85,84,5.03,broken clouds
Altstatten,CH,47.3777,9.5475,45.05,76,11,2.01,few clouds
Tateyama,JP,34.9833,139.8667,78.15,72,35,8.3,scattered clouds
Victoria Point,AU,-27.5833,153.3,88.02,63,0,4.0,clear sky
Saskatoon,CA,52.1168,-106.6345,37.38,35,1,9.22,clear sky
Uspenskaya,RU,45.7645,41.067,46.17,64,100,16.98,overcast clouds
Verkhoyansk,RU,67.5447,133.385,38.98,46,100,17.31,overcast clouds
Bardstown,US,37.8092,-85.4669,73.2,96,77,6.15,broken clouds
Shoranur,IN,10.7667,76.2833,85.71,67,76,4.43,light rain
Rutul,RU,41.5357,47.4239,38.3,51,0,2.68,clear sky
Soyo,AO,-6.1349,12.3689,75.33,83,100,7.27,overcast clouds
Ginda,IN,30.6945,78.4932,72.32,36,0,4.97,clear sky
Medea,DZ,36.2642,2.7539,45.05,65,0,3.27,clear sky
Ternate,ID,0.8,127.4,84.0,76,72,9.84,broken clouds
Tibagi,BR,-24.5094,-50.4136,59.13,96,100,3.42,overcast clouds
Villanueva De La Serena,ES,38.9766,-5.7974,61.83,50,96,4.23,overcast clouds
Sechura,PE,-5.5569,-80.8222,65.84,80,80,9.62,broken clouds
Borjomi,GE,41.8527,43.4128,54.19,61,8,2.13,clear sky
Sovetskoye,RU,52.2861,85.4131,51.96,42,2,3.58,clear sky
Vilhena,BR,-12.7406,-60.1458,73.69,71,88,2.42,overcast clouds
Moyale,KE,3.5167,39.0584,68.7,72,87,11.97,overcast clouds
Dawlatabad,AF,36.4141,64.9053,51.89,29,0,2.82,clear sky
Caxias,PT,38.7031,-9.2767,61.03,83,72,1.99,fog
Khasan,RU,42.4308,130.6434,60.73,72,100,13.73,light rain
Ustrzyki Dolne,PL,49.4304,22.5938,34.12,100,11,3.83,few clouds
El Cobre,CU,20.0489,-75.9469,76.44,78,20,4.61,few clouds
Morondava,MG,-20.2833,44.2833,79.23,66,0,4.25,clear sky
Bubaque,GW,11.2833,-15.8333,81.73,79,48,9.13,scattered clouds
